sku;price;special_from_date;special_to_date;special_price
SR027P NLAT3895PPIOMBO;694.21;30/12/14;31/12/50;485.95
SR027P NLAT3986OSAHARA;694.21;30/12/14;31/12/50;485.95
SR027P NLAT3995PPIOMBO;694.21;30/12/14;31/12/50;485.95
SR027P NLAT4095PPIOMBO;694.21;30/12/14;31/12/50;485.95
SR027P NLAT;694.21;30/12/14;31/12/50;485.95
SR027P NLAT;694.21;30/12/14;31/12/50;485.95
SR027P NLAT;694.21;30/12/14;31/12/50;485.95
SR046N VT2P3741ONERO;804.13;30/12/14;31/12/50;563.64
SR046N VT2P3841ONERO;804.13;30/12/14;31/12/50;563.64
SR046N VT2P3941ONERO;804.13;30/12/14;31/12/50;563.64
SR046N VT2P4041ONERO;804.13;30/12/14;31/12/50;563.64
SR046N VT2P;804.13;30/12/14;31/12/50;563.64
SR046N VT2P;804.13;30/12/14;31/12/50;563.64
SR046N VT2P;804.13;30/12/14;31/12/50;563.64
SL788D VEA3741ONERO;380.99;30/12/14;31/12/50;266.94
SL788D VEA3841ONERO;380.99;30/12/14;31/12/50;266.94
SL788D VEA3941ONERO;380.99;30/12/14;31/12/50;266.94
SL788D VEA4041ONERO;380.99;30/12/14;31/12/50;266.94
SL788D VEA;380.99;30/12/14;31/12/50;266.94
SL788D VEA;380.99;30/12/14;31/12/50;266.94
SL788D VEA;380.99;30/12/14;31/12/50;266.94
G1E617 JMXUNICACO0ORO;1100.83;30/12/14;31/12/50;771.07
G1E617 JMX;1100.83;30/12/14;31/12/50;771.07
G1E617 JMX;1100.83;30/12/14;31/12/50;771.07
G1E617 JMX;1100.83;30/12/14;31/12/50;771.07
G2E630 JMTUNICA00OORO;194.21;30/12/14;31/12/50;136.36
G2E630 JMTUNICA00PPALLADI;194.21;30/12/14;31/12/50;136.36
G2E630 JMT;194.21;30/12/14;31/12/50;136.36
G2E630 JMT;194.21;30/12/14;31/12/50;136.36
G2E630 JMT;194.21;30/12/14;31/12/50;136.36
G1E572 JMTUNICA00HSORO;492.56;30/12/14;31/12/50;345.45
G1E572 JMT;492.56;30/12/14;31/12/50;345.45
G1E572 JMT;492.56;30/12/14;31/12/50;345.45
G1E572 JMT;492.56;30/12/14;31/12/50;345.45
G1D240 JMS-UNICA41ONERO;395.87;30/12/14;31/12/50;277.69
G1D240 JMS-UNICA68OCIPRIA;395.87;30/12/14;31/12/50;277.69
G1D240 JMS-;395.87;30/12/14;31/12/50;277.69
G1D240 JMS-;395.87;30/12/14;31/12/50;277.69
