category_id;path;nombre_ingles;nombre_espanol;descripcion_ingles;descripcion_espanol
1387;outlet/men/clothing/knitwear/sweatshirts-hoodies;"SWEATSHIRTS & HOODIES";"SUDADERAS Y CAPUCHAS";;
1388;outlet/men/clothing/underwear;UNDERWEAR;"ROPA INTERIOR";;
1389;outlet/men/shoes;SHOES;ZAPATOS;;
1390;outlet/men/shoes/boots;BOOTS;BOTAS;;
1391;outlet/men/shoes/lace-ups;LACE-UPS;"CON CORDONES";;
1392;outlet/men/shoes/loafers-car-shoes;"LOAFERS & CAR SHOES";MOCASINES;;
1393;outlet/men/shoes/sandals;SANDALS;SANDALIAS;;
1394;outlet/men/shoes/sneakers;SNEAKERS;ZAPATILLAS;;
1395;outlet/men/shoes/sneakers/high-tops;"HIGH TOPS";"ZAPATILLAS ALTAS";;
1396;outlet/men/shoes/sneakers/low-tops;"LOW TOPS";"ZAPATILLAS BAJAS";;
1397;outlet/men/shoes/sneakers/slip-ons;SLIP-ONS;"SIN CORDONES";;
1398;outlet/men/bags;BAGS;BOLSOS;;
1399;outlet/men/bags/backpacks;BACKPACKS;MOCHILAS;;
1400;outlet/men/bags/office;OFFICE;MALETINES;;
1401;outlet/men/bags/pouches;POUCHES;CARTUCHERAS;;
1402;outlet/men/bags/shoulder-crossbody;"SHOULDER & CROSSBODY";BANDOLERAS;;
1403;outlet/men/bags/totes-shoppers;"TOTES & SHOPPERS";"BOLSAS DE TELA";;
1404;outlet/men/bags/travel-gym;"TRAVEL & GYM";"VIAJE Y GIMNASIO";;
1405;outlet/men/bags/wallets-bag-accessories;"WALLETS & BAG ACCESSORIES";"CARTERAS Y ACCESORIOS";;
1406;outlet/men/accessories;ACCESSORIES;ACCESORIOS;;
1407;outlet/men/accessories/fashion-accessories;"FASHION ACCESSORIES";"ACCESORIOS DE MODA";;
1408;outlet/men/accessories/fashion-accessories/belts;BELTS;CINTURONES;;
1409;outlet/men/accessories/fashion-accessories/gloves;GLOVES;GUANTES;;
1410;outlet/men/accessories/fashion-accessories/hats;HATS;"SOMBREROS Y GORRAS";;
1411;outlet/men/accessories/fashion-accessories/jewelry;JEWELRY;BISUTERÍA;;
1412;outlet/men/accessories/fashion-accessories/jewelry/bracelets;BRACELETS;BRAZALETES;;
1413;outlet/men/accessories/fashion-accessories/jewelry/brooches;BROOCHES;BROCHES;;
1414;outlet/men/accessories/fashion-accessories/jewelry/cufflinks;CUFFLINKS;GEMELOS;;
1415;outlet/men/accessories/fashion-accessories/jewelry/earrings;EARRINGS;PENDIENTES;;
1416;outlet/men/accessories/fashion-accessories/jewelry/necklaces;NECKLACES;COLLARES;;
1417;outlet/men/accessories/fashion-accessories/jewelry/rings;RINGS;ANILLOS;;
1418;outlet/men/accessories/fashion-accessories/keyrings-charms;"KEYRINGS & CHARMS";LLAVEROS;;
1419;outlet/men/accessories/fashion-accessories/scarves;SCARVES;BUFANDAS;;
1420;outlet/men/accessories/fashion-accessories/socks;SOCKS;CALCETINES;;
1421;outlet/men/accessories/fashion-accessories/sunglasses;SUNGLASSES;GAFAS;;
1422;outlet/men/accessories/fashion-accessories/ties;TIES;CORBATAS;;
1423;outlet/men/accessories/fashion-accessories/watches;WATCHES;RELOJES;;
1424;outlet/men/accessories/home-gifts;"HOME & GIFTS";"CASA Y REGALOS";;
1425;outlet/men/accessories/home-gifts/books;BOOKS;LIBROS;;
1426;outlet/men/accessories/home-gifts/homeware;HOMEWARE;"ACCESORIOS DE CASA";;
1427;outlet/men/accessories/home-gifts/sex-toys;"SEX TOYS";"JUGUETES ERÓTICOS";;
1428;outlet/men/accessories/home-gifts/shoehorns;SHOEHORNS;CALZADORES;;
1429;outlet/men/accessories/home-gifts/skateboards;SKATEBOARDS;SKATEBOARDS;;
1430;outlet/men/accessories/home-gifts/umbrellas;UMBRELLAS;PARAGUAS;;
1431;outlet/men/accessories/niche-perfumes;"NICHE PERFUMES";"PERFUMES SELECTOS";;
1432;outlet/men/accessories/technology;TECHNOLOGY;TECNOLOGÍA;;
1433;outlet/men/accessories/technology/gadgets;GADGETS;GADGETS;;
1434;outlet/men/accessories/technology/iphone-cases;"IPHONE CASES";"FUNDAS DE IPHONE";;
1435;outlet/men/accessories/technology/ipad-cases;"IPAD CASES";"FUNDAS DE IPAD";;
1436;outlet/kids;KIDS;NIÑOS;;
1437;outlet/kids/clothing;CLOTHING;ROPA;;
1438;outlet/kids/clothing/bottoms;BOTTOMS;"PARTES DE ABAJO";;
1439;outlet/kids/clothing/outerwear;OUTERWEAR;"ROPA DE ABRIGO";;
1440;outlet/kids/clothing/outerwear/coats;COATS;ABRIGOS;;
1441;outlet/kids/clothing/outerwear/jackets;JACKETS;CHAQUETAS;;
1442;outlet/kids/clothing/outerwear/vests;VESTS;CHALECOS;;
1443;outlet/kids/clothing/overalls-sets;"OVERALLS & SETS";"MONOS Y CONJUNTOS";;
1444;outlet/kids/clothing/tops;TOPS;"PARTES DE ARRIBA";;
1445;outlet/kids/shoes;SHOES;ZAPATOS;;
1446;outlet/kids/accessories;ACCESSORIES;ACCESORIOS;;
1447;sale/women;WOMEN;MUJER;;
1448;sale/women/clothing;CLOTHING;ROPA;;
1449;sale/women/shoes;SHOES;ZAPATOS;;
1450;sale/women/bags;BAGS;BOLSAS;;
1451;sale/women/accessories;ACCESSORIES;ACCESORIOS;;
1452;sale/women/shoes/flats;FLATS;PLANAS;;
1453;sale/women/shoes/booties-boots;"BOOTIES & BOOTS";"BOTINES Y BOTAS";;
1454;sale/women/clothing/outerwear;OUTERWEAR;"ROPA DE ABRIGO";;
1455;sale/women/clothing/jumpsuits;JUMPSUITS;MONOS;;
1456;sale/women/clothing/dresses;DRESSES;VESTIDOS;;
1457;sale/women/clothing/bottoms;BOTTOMS;"PARTES DE ABAJO";;
1458;sale/women/shoes/pumps;PUMPS;TACONES;;
1459;sale/women/shoes/sandals-mules;"SANDALS & MULES";SANDALIAS;;
1460;sale/women/accessories/home-gifts;"HOME & GIFTS";"CASA Y REGALOS";;
1461;sale/women/accessories/fashion-accessories;"FASHION ACCESSORIES";"ACCESORIOS DE MODA";;
1462;sale/women/bags/wallets-bag-accessories;"WALLETS & BAG ACCESSORIES";"CARTERAS Y ACCESORIOS";;
1463;sale/women/bags/totes-shoppers;"TOTES & SHOPPERS";"BOLSAS DE TELA";;
1464;sale/women/bags/top-handle;"TOP HANDLE";"BOLSOS ASA SUPERIOR";;
1465;sale/women/bags/shoulder-crossbody;"SHOULDER & CROSSBODY";BANDOLERAS;;
1466;sale/women/bags/clutches;CLUTCHES;"BOLSOS CLUTCH";;
1467;sale/women/bags/backpacks;BACKPACKS;MOCHILAS;;
1468;sale/women/accessories/niche-perfumes;"NICHE PERFUMES";"PERFUMES SELECTOS";;
1469;sale/women/accessories/technology;TECHNOLOGY;TECNOLOGÍA;;
1470;sale/women/shoes/sneakers;SNEAKERS;ZAPATILLAS;;
1471;sale/women/accessories/home-gifts/books;BOOKS;LIBROS;;
1472;sale/women/accessories/home-gifts/homeware;HOMEWARE;"ACCESORIOS DE CASA";;
1473;sale/women/accessories/home-gifts/sex-toys;"SEX TOYS";"JUGUETES ERÓTICOS";;
1474;sale/women/accessories/home-gifts/shoehorns;SHOEHORNS;CALZADORES;;
1475;sale/women/accessories/home-gifts/umbrellas;UMBRELLAS;PARAGUAS;;
1476;sale/women/accessories/technology/gadgets;GADGETS;GADGETS;;
1477;sale/women/accessories/technology/iphone-cases;"IPHONE CASES";"FUNDAS DE IPHONE";;
1478;sale/women/accessories/technology/ipad-cases;"IPAD CASES";"FUNDAS DE IPAD";;
1479;sale/women/accessories/fashion-accessories/watches;WATCHES;RELOJES;;
1480;sale/women/clothing/bottoms/jeans;JEANS;JEANS;;
1481;sale/women/clothing/bottoms/joggers;JOGGERS;JOGGERS;;
1482;sale/women/clothing/bottoms/leggings;LEGGINGS;LEGGINGS;;
1483;sale/women/clothing/bottoms/pants;PANTS;PANTALONES;;
1484;sale/women/accessories/fashion-accessories/belts;BELTS;CINTURONES;;
1485;sale/women/accessories/fashion-accessories/hair-accessories;"HAIR ACCESSORIES";"PARA EL CABELLO";;
1486;sale/women/accessories/fashion-accessories/hats;HATS;"SOMBREROS Y GORRAS";;
1487;sale/women/accessories/fashion-accessories/jewelry;JEWELRY;BISUTERÍA;;
1488;sale/women/accessories/fashion-accessories/bracelets;BRACELETS;BRAZALETES;;
1489;sale/women/accessories/fashion-accessories/scarves;SCARVES;BUFANDAS;;
1490;sale/women/shoes/sneakers/slip-ons;SLIP-ONS;"SIN CORDONES";;
1491;sale/women/shoes/sneakers/low-tops;"LOW TOPS";"ZAPATILLAS BAJAS";;
1492;sale/women/clothing/outerwear/blazers;BLAZERS;BLAZERS;;
1493;sale/women/clothing/outerwear/capes;CAPES;CAPAS;;
1494;sale/women/clothing/outerwear/coats;COATS;ABRIGOS;;
1495;sale/women/clothing/outerwear/down;"DOWN JACKETS";PLUMAS;;
1496;sale/women/clothing/outerwear/leather-fur;"LEATHER & FUR";"CUERO Y PIELES";;
1497;sale/women/clothing/outerwear/jackets;JACKETS;CHAQUETAS;;
1498;sale/women/clothing/outerwear/vests;VESTS;CHALECOS;;
1499;sale/women/shoes/sneakers/high-tops;"HIGH TOPS";"ZAPATILLAS ALTAS";;
1500;sale/women/accessories/fashion-accessories/jewelry/brooches;BROOCHES;BROCHES;;
1501;sale/women/accessories/fashion-accessories/jewelry/rings;RINGS;ANILLOS;;
